instance_id,num_nodes,num_edges,density,avg_degree,cyclomatic_complexity,loop_count,conditional_count,buffer_overflow_calls,use_after_free_calls,buffer_underread_calls,race_condition_calls,info_disclosure_calls,input_validation_calls,privilege_calls,resource_leak_calls,null_deref_calls,malloc_calls,free_calls,memory_ops,total_dangerous_calls,reaching_def_edges,cfg_edges,cdg_edges,ast_edges,is_flat_cpg
CWE-20_CVE-2013-7263_4_vuln.cpg,1489,6242,0.0028172548509860845,8.384150436534586,15,0,14,9,5,2,11,8,6,1,4,4,5,4,9,42,1082,351,210,1297,False
CWE-200_CVE-2018-20511_0_vuln.cpg,1170,4097,0.002995474252959283,7.003418803418803,7,0,6,9,4,2,13,8,0,1,4,4,5,3,8,37,569,194,64,982,False
CWE-416_CVE-2022-2938_2_vuln.cpg,1071,3438,0.0030000785360873323,6.420168067226891,1,0,0,9,4,2,11,8,0,1,4,4,5,3,8,35,489,127,0,886,False
CWE-416_CVE-2019-19318_0_vuln.cpg,1026,3201,0.0030437883326201683,6.239766081871345,1,0,0,9,4,2,11,8,0,1,4,4,5,3,8,35,428,111,0,842,False
CWE-416_CVE-2020-0433_1_vuln.cpg,1456,7106,0.003354291756353612,9.760989010989011,9,5,3,9,6,2,11,8,0,1,4,4,6,5,11,37,1437,433,331,1269,False
CWE-416_CVE-2014-2568_0_vuln.cpg,1549,6733,0.0028079297638052723,8.693350548741122,13,0,12,9,4,2,11,8,0,1,4,4,5,3,8,35,1183,395,229,1359,False
CWE-416_CVE-2019-10125_5_vuln.cpg,1085,3543,0.003012396483411839,6.530875576036866,2,0,1,9,6,2,11,8,1,1,4,4,5,4,9,38,506,137,15,900,False
CWE-476_CVE-2023-23005_0_vuln.cpg,1157,3930,0.0029383353320991826,6.79343128781331,4,0,3,10,4,2,11,8,0,1,4,4,5,3,8,36,586,169,7,972,False
CWE-362_CVE-2014-9529_0_vuln.cpg,1000,3087,0.00309009009009009,6.174,1,0,0,9,4,2,11,8,0,1,4,4,5,3,8,35,408,103,0,818,False
CWE-362_CVE-2016-2547_0_vuln.cpg,1403,6168,0.003135730140121586,8.792587312900926,10,3,6,9,5,2,11,8,0,1,4,4,5,3,8,36,1008,375,252,1215,False
CWE-125_CVE-2023-39193_0_vuln.cpg,1130,3884,0.003044435909293995,6.874336283185841,6,0,5,9,4,2,11,8,0,1,4,4,5,3,8,35,554,172,45,943,False
CWE-416_CVE-2016-9794_0_vuln.cpg,1130,3754,0.0029425366641322496,6.644247787610619,3,0,2,9,4,2,11,8,0,1,4,4,5,3,8,35,542,151,30,944,False
CWE-200_CVE-2013-7281_2_vuln.cpg,1335,5254,0.0029502102881143696,7.871161048689139,11,0,10,9,5,2,11,8,5,1,4,4,5,4,9,41,923,269,113,1143,False
CWE-416_CVE-2020-15436_1_vuln.cpg,1236,4611,0.003020714594552101,7.461165048543689,6,0,5,9,5,2,11,8,0,1,4,4,5,3,8,36,739,224,91,1047,False
CWE-200_CVE-2012-6539_0_vuln.cpg,1411,5990,0.0030107916019522394,8.490432317505315,12,2,9,9,4,2,11,8,0,1,4,4,5,3,8,35,916,354,234,1218,False
CWE-401_CVE-2020-36312_0_vuln.cpg,1249,4645,0.002979948061012913,7.43795036028823,6,1,4,9,4,2,11,8,0,1,4,4,5,3,8,35,705,229,101,1060,False
CWE-787_CVE-2019-19532_6_vuln.cpg,1632,7776,0.002921340209903704,9.529411764705882,17,5,11,9,4,2,12,8,1,1,4,4,5,3,8,37,1386,503,344,1438,False
CWE-416_CVE-2022-2318_6_vuln.cpg,1194,4170,0.002927462122009882,6.984924623115578,3,0,2,9,4,2,11,8,1,1,5,4,5,3,8,37,628,190,47,1005,False
CWE-787_CVE-2022-36280_0_vuln.cpg,1561,7231,0.0029694147407151894,9.26457399103139,9,1,7,9,4,2,11,8,0,1,4,6,5,3,8,37,1319,454,291,1366,False
CWE-787_CVE-2020-25285_1_vuln.cpg,1155,3976,0.002983036605220314,6.884848484848485,4,0,3,9,4,2,11,8,0,1,4,4,5,3,8,35,616,165,38,966,False
CWE-416_CVE-2020-27067_0_vuln.cpg,1423,5920,0.002925615244036835,8.320449754040759,5,0,4,9,5,2,11,8,0,1,4,5,5,4,9,37,1034,326,175,1230,False
CWE-125_CVE-2020-28097_1_vuln.cpg,1745,9321,0.0030628138061565154,10.683094555873925,14,2,11,9,4,3,11,8,2,1,4,4,5,3,8,37,1749,647,514,1558,False
