filename,relative_path,status,reason,vertex_count,edge_count,vertex_types,edge_types,missing_vertices,missing_edges,top_vertex_types,top_edge_types,file_size_mb
CWE-119_CVE-2006-3635_0_vuln.cpg.json,CWE-119_CVE-2006-3635_0_vuln.cpg.json,OK,success,1201,4044,22,16,None,None,TYPE_DECL:186|TYPE:178|METHOD_PARAMETER_IN:157|METHOD_PARAMETER_OUT:157|MEMBER:109|BLOCK:99,AST:1016|EVAL_TYPE:725|REACHING_DEF:604|CONTAINS:439|SOURCE_FILE:259|REF:195,4.36
CWE-119_CVE-2007-6761_0_vuln.cpg.json,CWE-119_CVE-2007-6761_0_vuln.cpg.json,OK,success,1227,4639,23,17,None,None,TYPE_DECL:190|TYPE:182|METHOD_PARAMETER_IN:150|METHOD_PARAMETER_OUT:150|MEMBER:109|BLOCK:89,AST:1038|REACHING_DEF:762|EVAL_TYPE:732|CONTAINS:501|SOURCE_FILE:263|CFG:230,4.69
CWE-119_CVE-2007-6762_0_vuln.cpg.json,CWE-119_CVE-2007-6762_0_vuln.cpg.json,OK,success,1188,4160,23,16,None,None,TYPE_DECL:188|TYPE:180|METHOD_PARAMETER_IN:150|METHOD_PARAMETER_OUT:150|MEMBER:109|BLOCK:90,AST:1001|EVAL_TYPE:708|REACHING_DEF:615|CONTAINS:456|SOURCE_FILE:261|REF:210,4.39
CWE-119_CVE-2009-2692_0_vuln.cpg.json,CWE-119_CVE-2009-2692_0_vuln.cpg.json,OK,success,1118,3717,23,17,None,None,TYPE_DECL:188|TYPE:180|METHOD_PARAMETER_IN:147|METHOD_PARAMETER_OUT:147|MEMBER:109|BLOCK:81,AST:931|EVAL_TYPE:652|REACHING_DEF:569|CONTAINS:410|SOURCE_FILE:261|REF:200,4.07
CWE-119_CVE-2010-5332_0_vuln.cpg.json,CWE-119_CVE-2010-5332_0_vuln.cpg.json,OK,success,1307,5207,24,16,None,None,TYPE_DECL:189|TYPE:181|METHOD_PARAMETER_IN:160|METHOD_PARAMETER_OUT:160|MEMBER:109|BLOCK:97,AST:1119|REACHING_DEF:887|EVAL_TYPE:807|CONTAINS:545|CFG:276|DOMINATE:269,5.11
CWE-119_CVE-2010-5332_1_vuln.cpg.json,CWE-119_CVE-2010-5332_1_vuln.cpg.json,OK,success,1336,5345,24,16,None,None,TYPE_DECL:190|TYPE:182|METHOD_PARAMETER_IN:166|METHOD_PARAMETER_OUT:166|MEMBER:109|BLOCK:100,AST:1147|REACHING_DEF:913|EVAL_TYPE:832|CONTAINS:556|CFG:285|DOMINATE:279,5.22
CWE-119_CVE-2011-4098_0_vuln.cpg.json,CWE-119_CVE-2011-4098_0_vuln.cpg.json,OK,success,1674,7657,24,16,None,None,METHOD_PARAMETER_IN:208|METHOD_PARAMETER_OUT:208|TYPE_DECL:191|TYPE:183|CALL:133|BLOCK:131,AST:1484|REACHING_DEF:1410|EVAL_TYPE:1113|CONTAINS:753|CFG:472|DOMINATE:455,6.92
CWE-119_CVE-2011-4098_1_vuln.cpg.json,CWE-119_CVE-2011-4098_1_vuln.cpg.json,OK,success,1888,10166,24,16,None,None,METHOD_PARAMETER_IN:206|METHOD_PARAMETER_OUT:206|CALL:202|IDENTIFIER:198|TYPE_DECL:198|TYPE:190,REACHING_DEF:2208|AST:1691|EVAL_TYPE:1300|CONTAINS:970|CFG:667|DOMINATE:626,8.52
CWE-119_CVE-2011-4098_2_vuln.cpg.json,CWE-119_CVE-2011-4098_2_vuln.cpg.json,OK,success,1398,5613,24,16,None,None,TYPE_DECL:191|TYPE:183|METHOD_PARAMETER_IN:179|METHOD_PARAMETER_OUT:179|BLOCK:111|MEMBER:109,AST:1208|REACHING_DEF:1013|EVAL_TYPE:892|CONTAINS:567|CFG:292|DOMINATE:281,5.46
CWE-119_CVE-2011-5327_0_vuln.cpg.json,CWE-119_CVE-2011-5327_0_vuln.cpg.json,OK,success,1268,4800,23,16,None,None,TYPE_DECL:192|TYPE:184|METHOD_PARAMETER_IN:158|METHOD_PARAMETER_OUT:158|MEMBER:109|BLOCK:92,AST:1077|EVAL_TYPE:776|REACHING_DEF:757|CONTAINS:512|SOURCE_FILE:265|CFG:240,4.84
CWE-119_CVE-2012-2119_0_vuln.cpg.json,CWE-119_CVE-2012-2119_0_vuln.cpg.json,OK,success,1510,6797,23,16,None,None,METHOD_PARAMETER_IN:188|METHOD_PARAMETER_OUT:188|TYPE_DECL:186|TYPE:178|BLOCK:114|CALL:110,AST:1325|REACHING_DEF:1305|EVAL_TYPE:1000|CONTAINS:662|CFG:395|DOMINATE:381,6.23
